ticker,company_name,url,ceo_name,ceo_role,appointment_date,resignation_date,open_at_appointment,close_at_resignation,topix_open_at_appointment,topix_close_at_resignation,excess_return_annual,tenure_years,photo_paths,photo_count,source
5959,岡部,https://www.okabe.co.jp/,平素,current,,,,,,,,,photos_2/5959_岡部/current/photo_01.jpg,1,current
5965,フジマック,https://www.fujimak.co.jp/,推進体制,current,,,,,,,,,photos_2/5965_フジマック/current/photo_01.jpg,1,current
5967,TONE,https://www.tonetool.co.jp/,深化,current,,,,,,,,,photos_2/5967_TONE/current/photo_01.jpg,1,current
5967,TONE,https://www.tonetool.co.jp/,矢野 大司郎,prev_1,,,,,,,,,photos_2/5967_TONE/history/01_矢野_大司郎/photo_01.jpg,1,history
5971,共和工業所,https://www.kyowakogyosyo.co.jp/,藤井 政志,prev_1,,,,,,,,,photos_2/5971_共和工業所/history/01_藤井_政志/photo_01.jpg,1,history
5970,ジーテクト,https://www.g-tekt.jp/,高尾 直宏,current,,,,,,,,,photos_2/5970_ジーテクト/current/photo_01.jpg,1,current
5970,ジーテクト,https://www.g-tekt.jp/,神子柴 寿昭,prev_1,,,,,,,,,photos_2/5970_ジーテクト/history/01_神子柴_寿昭/photo_01.jpg,1,history
5970,ジーテクト,https://www.g-tekt.jp/,三部 敏宏,prev_2,,,,,,,,,photos_2/5970_ジーテクト/history/02_三部_敏宏/photo_01.jpg,1,history
5970,ジーテクト,https://www.g-tekt.jp/,倉石 誠司,prev_3,,,,,,,,,photos_2/5970_ジーテクト/history/03_倉石_誠司/photo_01.jpg,1,history
5970,ジーテクト,https://www.g-tekt.jp/,竹内 弘平,prev_4,,,,,,,,,photos_2/5970_ジーテクト/history/04_竹内_弘平/photo_01.jpg,1,history
5970,ジーテクト,https://www.g-tekt.jp/,鈴木 麻子,prev_5,,,,,,,,,photos_2/5970_ジーテクト/history/05_鈴木_麻子/photo_01.jpg,1,history
5970,ジーテクト,https://www.g-tekt.jp/,貝原 典也,prev_6,,,,,,,,,photos_2/5970_ジーテクト/history/06_貝原_典也/photo_01.jpg,1,history
5975,東プレ,https://www.topre.co.jp/,"方
東",current,2024年6月,,2140.88,,,,,,photos_2/5975_東プレ/current/photo_01.jpg,1,current
5975,東プレ,https://www.topre.co.jp/,進士仁一,prev_1,,,,,,,,,photos_2/5975_東プレ/history/01_進士仁一/photo_01.jpg,1,history
5975,東プレ,https://www.topre.co.jp/,手塚卓志,prev_2,,,,,,,,,photos_2/5975_東プレ/history/02_手塚卓志/photo_01.jpg,1,history
5981,東京製綱,https://www.tokyorope.co.jp/,"挨拶
東京製",current,2021年6月,,1060.49,,,,,,,0,current
5981,東京製綱,https://www.tokyorope.co.jp/,辞任　複数,prev_1,2024年9月26日,2024年9月26日,,,,,,,photos_2/5981_東京製綱/history/01_辞任_複数/photo_01.jpg,1,history
5974,中国工業,https://www.ckk-chugoku.co.jp/,神子柴 寿昭,prev_1,,,,,,,,,photos_2/5974_中国工業/history/01_神子柴_寿昭/photo_01.jpg,1,history
5974,中国工業,https://www.ckk-chugoku.co.jp/,三部 敏宏,prev_2,,,,,,,,,photos_2/5974_中国工業/history/02_三部_敏宏/photo_01.jpg,1,history
